date,open,high,low,close,Volume
2021-06-03,4210.2,4215.52,4167.3,4193.5,0.0
2021-06-04,4193.7,4234.15,4179.27,4230.15,0.0
2021-06-05,4230.15,4230.15,4230.15,4230.15,0.0
2021-06-06,4230.15,4230.15,4230.15,4230.15,0.0
2021-06-07,4232.77,4234.95,4216.65,4229.7,0.0
2021-06-08,4230.1,4239.1,4208.35,4227.35,0.0
2021-06-09,4227.55,4237.25,4219.3,4224.5,0.0
2021-06-10,4224.35,4251.05,4209.3,4241.2,0.0
2021-06-11,4241.65,4250.45,4233.95,4247.4,0.0
2021-06-12,4247.4,4247.4,4247.4,4247.4,0.0
2021-06-13,4247.4,4247.4,4247.4,4247.4,0.0
2021-06-14,4250.5,4259.15,4235.15,4256.65,0.0
2021-06-15,4256.57,4267.97,4238.35,4247.6,0.0
2021-06-16,4247.75,4251.2,4201.7,4213.05,0.0
2021-06-17,4214.25,4232.8,4193.32,4226.05,0.0
2021-06-18,4225.3,4230.12,4151.25,4152.0,0.0
2021-06-19,4152.0,4152.0,4152.0,4152.0,0.0
2021-06-20,4152.0,4152.0,4152.0,4152.0,0.0
2021-06-21,4157.27,4229.95,4136.9,4229.2,0.0
2021-06-22,4229.32,4255.7,4216.5,4247.45,0.0
2021-06-23,4248.0,4257.97,4240.35,4242.85,0.0
2021-06-24,4243.0,4273.45,4241.5,4272.7,0.0
2021-06-25,4272.15,4286.85,4264.1,4284.8,0.0
2021-06-26,4284.8,4284.8,4284.8,4284.8,0.0
2021-06-27,4284.8,4284.8,4284.8,4284.8,0.0
2021-06-28,4287.17,4292.35,4275.15,4291.8,0.0
2021-06-29,4290.45,4301.45,4282.07,4294.9,0.0
2021-06-30,4295.8,4304.45,4279.95,4303.7,0.0
2021-07-01,4303.95,4322.85,4297.05,4320.35,0.0
2021-07-02,4319.4,4357.0,4318.47,4349.0,0.0
2021-07-03,4349.0,4349.0,4349.0,4349.0,0.0
2021-07-04,4349.0,4349.0,4349.0,4349.0,0.0
2021-07-05,4350.12,4356.25,4343.25,4351.25,0.0
2021-07-06,4352.2,4358.27,4315.6,4338.65,0.0
2021-07-07,4338.2,4362.95,4330.45,4362.15,0.0
2021-07-08,4361.3,4361.62,4288.55,4319.15,0.0
2021-07-09,4319.75,4372.95,4302.37,4371.2,0.0
2021-07-10,4371.2,4371.2,4371.2,4371.2,0.0
2021-07-11,4371.2,4371.2,4371.2,4371.2,0.0
2021-07-12,4371.57,4387.95,4351.2,4385.2,0.0
2021-07-13,4386.25,4392.95,4366.2,4368.95,0.0
2021-07-14,4368.5,4393.45,4358.82,4375.2,0.0
2021-07-15,4375.12,4378.8,4341.25,4356.75,0.0
2021-07-16,4356.55,4376.5,4323.25,4326.75,0.0
2021-07-17,4326.75,4326.75,4326.75,4326.75,0.0
2021-07-18,4326.75,4326.75,4326.75,4326.75,0.0
2021-07-19,4327.62,4329.37,4233.0,4270.0,0.0
2021-07-20,4271.15,4337.7,4261.95,4328.05,0.0
2021-07-21,4327.6,4364.3,4318.92,4363.8,0.0
2021-07-22,4363.05,4380.45,4350.15,4379.95,0.0
2021-07-23,4380.05,4416.6,4376.12,4407.85,0.0
2021-07-24,4407.85,4407.85,4407.85,4407.85,0.0
2021-07-25,4407.85,4407.85,4407.85,4407.85,0.0
2021-07-26,4410.72,4426.15,4384.6,4424.65,0.0
2021-07-27,4425.0,4425.25,4373.0,4392.1,0.0
2021-07-28,4389.9,4416.6,4386.97,4401.1,0.0
2021-07-29,4401.15,4430.85,4388.97,4405.6,0.0
2021-07-30,4403.85,4413.05,4378.8,4403.15,0.0
2021-07-31,4403.15,4403.15,4403.15,4403.15,0.0
2021-08-01,4403.15,4403.15,4403.15,4403.15,0.0
2021-08-02,4406.12,4428.0,4385.75,4392.0,0.0
2021-08-03,4391.8,4425.2,4373.5,4416.8,0.0
2021-08-04,4418.6,4423.55,4399.85,4404.6,0.0
2021-08-05,4404.15,4431.1,4402.22,4429.4,0.0
2021-08-06,4427.8,4441.0,4423.87,4438.0,0.0
2021-08-07,4438.0,4438.0,4438.0,4438.0,0.0
2021-08-08,4438.0,4438.0,4438.0,4438.0,0.0
2021-08-09,4435.17,4439.3,4419.92,4434.85,0.0
